unlabeled	5806393.s1	1 Measurements were made of the activities of enzymes of the pentose phosphate cycle , glucose 6-phosphate dehydrogenase , 6-phosphogluconate dehydrogenase , ribose 5-phosphate isomerase , ribulose 5-phosphate epimerase , transketolase and transaldolase , as well as of the related or competing enzymes glucokinase , hexokinase , phosphoglucose isomerase and phosphoglucomutase , in control rats and in rats bearing the growth-hormone- and prolactin-secreting pituitary tumour MtTW5 , to study the effect of high endogenous concentrations of growth hormone on this pathway in liver	123-155	6-phosphogluconate dehydrogenase	Phosphogluconate Dehydrogenase	C0031654	T116|T126	Gene_or_gene_product	303-314	glucokinase	Glucokinase	C0017713	T116|T126	Gene_or_gene_product	440-476	prolactin-secreting pituitary tumour	Prolactin Secreting Pituitary tumour	C0278863	T191	Binding|NA	False	method	x
unlabeled	5357233.s1	1 The effects of the vagus nerve and of antral gastrin on the rate of histamine formation ( histamine forming capacity , HFC , i e histidine decarboxylase activity ) in the parietal cell region of the gastric mucosa has been investigated in the following stomach preparations gastric fistula , denervated Heidenhain pouch , antral resection with gastrojejunostomy , gastrojejunostomy with exclusion of the duodenum and in the intact stomach	47-54	gastrin	Gastrins	C0017151	T116|T125	Gene_or_gene_product	131-154	histidine decarboxylase	Histidine Decarboxylase	C0019605	T116|T126	Gene_or_gene_product	276-291	gastric fistula	Fistula, Gastric	C0017128	T190	False	False	no_relation	o
unlabeled	5263016.s5	Acetylcholinesterase and the enzymes for the synthesis of neurotransmitters , cholineacetylase and tyrosine hydroxylase were assayed in the tumor and compared with brain levels tyrosine hydroxylase was found to be particularly high , as described previously in human neuroblastomas	0-20	Acetylcholinesterase	Acetylcholinesterase	C0001044	T116|T126	Gene_or_gene_product	177-197	tyrosine hydroxylase	Tyrosine 3-Monooxygenase	C0041491	T116|T126	Gene_or_gene_product	140-145	tumor	Tumour NOS	C0027651	T191	Regulation|Backward	False	no_relation	x
unlabeled	17340808.s2	In the case of reagent glia , considerably increased ADPase , ATPase and AMPase values have been observed in experimental elective parenchymal necrosis in the rat , in hypertrophic astrocytes from recent plaques in multiple necrosis , in demyelinisation associated with cyanide encephalopathy , and in reagent astrocytes surrounding tumours and arteriosclerosis sites	53-59	ADPase	Apyrase	C0003652	T116|T126	Gene_or_gene_product	62-68	ATPase	Adenosine Triphosphatases	C0001473	T116|T126	Gene_or_gene_product	333-340	tumours	tumours	C0027651	T191	Regulation|Forward	False	no_relation	x
unlabeled	5309797.s1	IgG and IgM metabolism was evaluated in 10 patients with systemic lupus erythematosus ( SLE ) , 10 patients with rheumatoid arthritis ( RA ) , and in seven normal volunteers	0-3	IgG	Immunoglobulin G	C0020852	T116|T121|T129	Gene_or_gene_product	8-11	IgM	Immunoglobulin M	C0020861	T116|T129	Gene_or_gene_product	57-85	systemic lupus erythematosus	Lupus Erythematosus, Systemic	C0024141	T047	Regulation|Forward	False	method	x
unlabeled	5432004.s6	The synthesis of CPS ( pyr ) and aspartate transcarbamylase ( ATC ) , the initial enzymatic steps of the pyrimidine pathway , are co-derepressed by pyrimidine starvation	33-59	aspartate transcarbamylase	Aspartate Carbamoyltransferase	C0004006	T116|T126	Gene_or_gene_product	62-65	ATC	thiazolidine-4-carboxylic acid	C0076425	T109|T121	Gene_or_gene_product	17-20	CPS	CPS	C0751753	T047	Regulation|Backward	False	NER_disease	x
unlabeled	5485836.s2	While the relationship of trypsin to chymotrypsin was independent of stimulus and presence of pancreatic disease the ratio of proteolytic enzymes to amylase rose when the degree of stimulation of the pancreas was increased	26-33	trypsin	TRYPSIN	C0041236	T116|T121|T126	Gene_or_gene_product	37-49	chymotrypsin	CHYMOTRYPSIN	C0008742	T116|T121|T126	Gene_or_gene_product	94-112	pancreatic disease	Pancreatic Disease	C0030286	T047	Decrease|Backward	False	no_relation	x
unlabeled	4099714.s1	An immunohistological survey of 28 full-term human placentas has demonstrated deposits of IgG , beta1C , beta1E , and fibrinogen/fibrin in areas of fibrinoid necrosis and on the trophoblast basement membrane in approximately 35 of placental villi	118-128	fibrinogen	Fibrinogen	C0016006	T116|T121|T123	Gene_or_gene_product	129-135	fibrin	Fibrin	C0015982	T116|T121|T123	Gene_or_gene_product	148-166	fibrinoid necrosis	Fibrinoid Necrosis	C0333513	T046	Decrease|Backward	Binding|NA	type	x
unlabeled	4322461.s3	In the group with Addison 's disease circulating ACTH values showed a definite nyctohemeral rhythm , a pronounced rise in response to insulin-induced hypoglycaemia , and an immediate fall following the intravenous injection of corticosteroids , with a half-life of between 13 5 and 44 2 minutes	49-53	ACTH	Corticotropin	C0001655	T116|T121|T125	Gene_or_gene_product	134-141	insulin	Insulin	C0021641	T116|T121|T125	Gene_or_gene_product	150-163	hypoglycaemia	HYPOGLYCEMIA	C0020615	T047	Increase|Forward	Increase|Backward	direction	x
unlabeled	5567767.s1	The serum and urine concentrations of fibrin/fibrinogen degradation products ( F D P ) were estimated in 172 patients with glomerulonephritis	38-44	fibrin	Fibrin	C0015982	T116|T121|T123	Gene_or_gene_product	45-55	fibrinogen	Fibrinogen	C0016006	T116|T121|T123	Gene_or_gene_product	123-141	glomerulonephritis	GLOMERULONEPHRITIS	C0017658	T047	Regulation|Forward	False	method	x
